,Label,Red,Green,Blue,Hue,Sarutation,Value,Size
26,0.0,150.08175872866386,166.79054000127698,203.0714155546333,17.332018114438345,76.81973353764951,206.02604532467117,930483.0
27,0.0,124.07812327210947,145.27700011320758,193.0265906646158,18.737927112686982,99.19713108430554,196.0988927076408,934091.0
28,0.0,126.38735468343003,147.0074924520483,181.71384475639357,37.61382283403386,90.55885552332465,186.66910464273028,724628.0
29,0.0,154.73895427627951,182.55534899560223,203.25270516776715,23.731159894617207,71.66625633811073,208.14406021501776,384539.0
30,0.0,153.316486205389,179.29178444816287,206.12810537370302,22.460937859009594,74.78075967852976,210.58529783383227,554665.0
31,0.0,135.6772820162876,156.55411435082723,214.36459149715563,15.475656851933103,97.61724695160406,216.34136500725694,1163269.0
32,0.0,133.61893960126326,149.85833852357945,205.532467741834,14.405590602823494,95.50684365405908,207.0115427927928,1014398.0
33,0.0,146.42219123789633,161.1995760750902,208.4660851172394,20.813133662426427,83.75051381241694,210.58694910527814,1222693.0
34,0.0,157.29560971477517,180.79395147876,211.83440668048084,16.4367285809982,74.65501412327735,214.44091642367118,603584.0
35,0.0,151.05813561776063,181.74373503861003,208.3481920849421,20.59389478764479,77.90774951737451,212.10157818532818,430272.0
36,0.0,139.1591520901914,161.2187000804737,214.846406872161,13.252942299289815,94.16192205911169,215.4205856632547,606800.0
37,0.0,137.04470609335408,159.51991463656623,212.09621655295052,15.168104813474983,96.57269629392191,213.5502969785084,871860.0
38,0.0,129.35956544131446,153.91438518076933,208.27820424392615,17.770920240510588,102.96127293785497,210.43521626417575,903698.0
39,0.0,155.31622570456753,174.7258047862002,200.5072880223518,18.434053389212828,71.18019922254616,204.53182944606414,740117.0
40,0.0,155.76857650127872,166.94620948169674,204.6703364527772,22.864514387383878,70.90537645030388,206.65564989335627,787339.0
41,0.0,183.14866379977863,202.5197941444424,226.86635297155857,18.318575653731912,53.84528552204664,228.4933254339892,385854.0
42,0.0,175.626061976757,193.09135065543072,224.24259714419475,17.68971861918925,60.79912761277264,225.4306737442168,496370.0
43,0.0,158.70392880831437,183.0393600897331,212.21122401249988,22.052356401005284,71.55739188620383,214.30416520067885,333187.0
44,0.0,137.08774772016446,154.79037006981076,211.57094503375598,16.087481179931007,95.75934637200594,213.09306068942763,800259.0
45,0.0,135.55807833412754,158.5793521757943,197.96802216792864,22.919247192342482,89.14756506139867,201.4769272845801,607362.0
46,0.0,110.48637318821058,136.4910456268912,208.99174524489467,14.019728830670891,123.58597134033424,209.9746736581202,929466.0
47,0.0,148.14052964206974,166.3241056341428,208.720149986321,16.260316387453933,83.57109475760565,210.71275550436465,718580.0
48,0.0,146.89877489838557,171.4819364211672,199.60308288331964,20.311059224648638,77.71639616339569,203.77313528310682,419391.0
